,Judul,Industri,Tipe,Kategori,Kota,Provinsi,Negara,Gaji_Min,Gaji_Max,Skills,Pengalaman_Bulan,Pendidikan,Deskripsi
0,IT Business Analyst,Information Technology and Services,FULL_TIME,System Analyst,Jakarta Timur,DKI Jakarta,ID,Tidak ada,Tidak ada,"SQL, Business Analysis, Relational Databases, System Analysis, Analytical Skills, SDLC",36.0,bachelor degree,"Job description 
 
 Evaluating and documenting business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions. 
 Conducting meetings and presentations to share ideas and findings. 
 Performing requirements analysis. 
 Working closely with clients, technical/programer, and project manager 
 Create Business Requirement documents and Functional Specification Document 
 
 
 Qualification 
 Minimum Bachelor’s Degree in Business ot  IT from reputable university 
 
 Minimum 2 (two) year experience as Business Analyst or Functional Analyst 
 Having good knowledge of Software Development Life Cycle  (SDLC) 
 Excellent documentation skills. 
 Excellent analytical, judgment and problem solving skills 
 High quality analysis including business process and system analysis. 
 Good communication and people management as well as interpersonal skills Demonstrate high service attitude 
 Proactive, full of initiative and able to work efficiently and cooperatively within a team environment 
 Highly motivated, disciplined and able to work under pressure with minimum supervision"
1,IT System Analyst,Information Technology and Services,FULL_TIME,System Analyst,Surabaya,Jawa Timur,ID,7000000.0,9000000.0,"Requirements Analysis, SQL, Business Analysis, SDLC, Stakeholder Management, Cloud Platform System, Teamwork, System Analysis",12.0,bachelor degree,"General Qualification : 
 
 Man (23 - 35 years old) 
 Education min. S1 (Information Technology/Information System/Computer System) 
 Minimum 1-3 years of experience in IT coordination, business partnering, or similar roles. 
 Strong understanding of IT service management, project management, and technology roadmaps. 
 Strong communication, collaboration and stakeholder management skills. 
 Fluent in Bahasa Indonesia and English (written and spoken). 
 Will to work located in Surabaya 
 
 
 Specific Qualification : 
 
 SQL Query/Tuning Basic 
 Programming Language (Laravel) (Basic) 
 Understand Client-Server and networking concept (Basic) 
 IT Service management knowledge (Basic) 
 Familiar with Report Development (SSRS, PowerBI) will be a plus (Basic) 
 Good Documentation Practices (GDP) Knowledge will be a plus (Basic)"
2,IT Business Analyst - Insurance exp,Information Technology and Services,CONTRACTOR,Business Analyst,Jakarta Selatan,DKI Jakarta,ID,13000000.0,14500000.0,"SDLC, Life Insurance, Teamwork, Business Process Improvement, Business Analysis",36.0,bachelor degree,"Skill And Experience : 
 - Understand the Basic Life Insurance business rule and process :  3 years of Business Analyst experiences 
 - Good knowledge on SDLC and has implemented full cycle of software develop 
 - Has experience in handling application (front end, integration, or core application) that related to insurance process. 
 - Has experience in L400/Lifeasia/Other insurance system and experience in product setup 
 - Has experience in SQL (DML command) 
 - Has experience in requirement gathering as part of Business Requirement/Functional 
 Spec. Document creation 
 - Able to create business/functional process flowcharts or workflow diagrams 
 - Able to create scenario test"
3,IT Business Analyst (for Insurance industry),Information Technology and Services,CONTRACTOR,Business Analyst,Jakarta Selatan,DKI Jakarta,ID,5000000.0,7500000.0,"Csm, SQL, Insurance, Group Asia, SDLC, Life 400, Cbap",36.0,bachelor degree,"Understand the Basic Life Insurance business rule and process 
 Have a good analyticall skill 
 Good knowlegde on SLDC and has implemented full cyle of software develop 
 Experience in handling application (frontend, integration, or core application) that related to insurance process 
 Has experience in Life400 or Group Asia Insurance system is a plus  
 Min Bachelor degree IT / Engineering / Science related study 
 Min 3-5 years experience"
4,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada
5,IT Business Analyst - ASAP (WFO Jakarta Area),Information Technology and Services,CONTRACTOR,Business Analyst,Jakarta Selatan,DKI Jakarta,ID,8000000.0,10000000.0,"Business Analysis, Project Management, IT Management, SDLC",36.0,professional certificate,"Sigmatech – Your Digital Growth Solution Partner! We're hiring! 
 
 On behalf of our client, we are currently hiring for a position as detailed below: 
 IT Business Analyst 
  (Financial, Banking, and Related Projects – ASAP, On-Site Jakarta Area) 
 
 Job Description 
 
 Gather, analyze, and translate business requirements into functional specifications and documentation (e.g., BRD, FSD). 
 Act as a liaison between business stakeholders and technical teams to ensure alignment throughout the project lifecycle. 
 Support the development team during implementation and coordinate with QA during testing phases, including UAT and SIT. 
 Conduct gap analysis, workflow design, and contribute to process improvements within financial and banking systems. 
 Monitor project progress and ensure deliverables meet user expectations, budget, and timeline constraints. 
 
 
 Qualifications 
 
 Bachelor's degree in Information Systems, Computer Science, or related field. 
 Minimum 3+ years of experience as a Business Analyst, preferably in financial or banking industries. 
 Strong knowledge of SDLC, Agile methodology, and tools such as Jira, Confluence, or similar platforms. 
 Proven experience in requirement gathering, process mapping, and documentation. 
 Excellent communication, analytical thinking, and stakeholder management skills. 
 
 
 Only shortlisted candidates will be contacted. Thank you."
6,Software Developer,Information Technology and Services,FULL_TIME,Full Stack Developer,Sidoarjo,Jawa Timur,ID,4500000.0,6500000.0,"MySQL, React.js, jQuery, HTML, Laravel, CLOUDFLARE, CDN, Jwt, PHP, JavaScript, Tailwind, GIT, Linux Server, Node.js, CSS, REST API",12.0,bachelor degree,"Software Developer 
 
 PT Rank Media Teknologi  membuka kesempatan bagi talenta IT untuk bergabung sebagai Software Developer. Posisi ini berfokus pada pengembangan aplikasi berbasis web menggunakan framework modern serta mendukung pengembangan sistem dan aplikasi lintas platform. 
 
 Tanggung Jawab Utama 
 
 Mengembangkan dan memelihara aplikasi web dan sistem internal perusahaan. 
 Merancang dan mengimplementasikan fitur backend maupun frontend. 
 Mengintegrasikan  REST API  dan database relasional. 
 Berkolaborasi dengan tim untuk memastikan kualitas dan performa aplikasi web. 
 Menerapkan praktik keamanan aplikasi web. 
 
 
 Kualifikasi Umum 
 
 Pendidikan minimal  Sarjana (S1) . 
 Pengalaman minimal  1 tahun  sebagai Software Developer/Web Developer. 
 Menguasai  HTML ,  CSS , dan  JavaScript . 
 Memiliki pengalaman  backend  dan/atau  frontend  development. 
 Menguasai minimal satu framework ( Laravel ,  CodeIgniter ,  Tailwind , atau  sejenisnya ). 
 Memahami konsep  OOP ,  REST API , dan database ( MySQL/PostgreSQL ). 
 Terbiasa menggunakan  Git . 
 Memahami dasar keamanan web ( authentication ,  authorization ,  validasi input ). 
 
 
 Kualifikasi Personal 
 
 Mampu bekerja  mandiri  maupun dalam  tim . 
 Memiliki kemampuan  analisis  dan  problem solving  yang baik. 
 Memiliki kemauan belajar dan mengikuti perkembangan teknologi. 
 Mempunyai  portofolio  (website) yang dapat dipresentasikan. 
 
 
 Nilai Tambah (Opsional) 
 
 Pengalaman menggunakan  React ,  Vue , atau  Next.js 
 Pengalaman mengembangkan  aplikasi mobile  atau  sistem internal . 
 Memahami  server Linux  dan proses deployment (VPS/on-premise) 
 Memiliki pengalaman atau minat pada pengembangan berbasis AI 
 Pengalaman integrasi Auth ( JWT ,  OAuth ) 
 Menguasai  tools desain grafis  menjadi nilai tambah"
7,Software Developer,Information Technology and Services,FULL_TIME,Full Stack Developer,Tangerang,Banten,ID,6000000.0,8000000.0,"SQL, React.js, Go / Golang",12.0,bachelor degree,"Our client : Banking Industry located in BSD Tangerang (Full WFO) is looking fullstack 
 
 With Requirement bellow : 
 Minimum Bachelor degree of IT/engineering/science related study 
 Minimum 1 years experience as a Developer 
 Familiar with React Js, & Golang 
 Strong analytical and problem-solving skills Ability to work independently and in a team environment Experience as a full stack developer Hands on experience with Go for API development Hands on experience with React.js for front end development Experience with Git, CI/CD pipelines and containerized environments (Docker, Kubernetes) Understanding microservices architecture, REST API and Async processing Understanding of event streaming (Kafka) Understanding database (Microsoft SQL, Oracle, Postgres) Basic understanding of payment ecosystem is a plus"
8,Software Developer,Information Technology and Services,INTERN,Mobile Developer,Surabaya,Jawa Timur,ID,1000000.0,2000000.0,"Mobile App Development, REST API, Flutter",Tidak ada,professional certificate,"📱 We’re Hiring: Mobile Apps Developer (Android & iOS) 
 🕒 Internship | Open for Fresh Graduates & Final-Year Students 
 
 PT Tumbuh Solusi Digital (Soloosi) is looking for a Mobile Apps Developer to build and maintain applications for both Play Store and App Store. 
 
 📍 Work Arrangement 
  • Hybrid (WFO 1x/week in Surabaya) 
  • Preferably based in Surabaya, Malang, or East Java area 
 
 🔎 What You’ll Do : 
 • Develop and maintain mobile applications (Android & iOS) 
 • Integrate mobile apps with backend APIs 
 • Ensure performance, usability, and stability of applications 
 • Identify and fix bugs based on testing and user feedback 
 • Collaborate with backend and design teams 
 • Manage app deployment and updates to app stores 
 
 🎯 What We’re Looking For : 
 • Degree in Computer Science, IT, or relevant field (or equivalent experience) 
 • Experience with Flutter 
 • Understanding of REST API integration 
 • Familiar with mobile app lifecycle and best practices 
 • Experience publishing apps to Play Store / App Store is a plus 
 • Detail-oriented and proactive problem solver"
9,IT Software Developer Supervisor,Pharmaceuticals,FULL_TIME,Full Stack Developer,Tangerang,Banten,ID,Tidak ada,Tidak ada,"SQL, Next.Js, JavaScript, MySQL, Restful API, React.js, C#, SAP",12.0,bachelor degree,"Qualifications :  
 1. Bachelor’s degree (S1) in Information Technology, Information Systems, or a related field 
 2. Minimum 2 - 3 years of experience as a Software Developer 
 3. Strong proficiency in C# and/or Java 
 4. Solid experience with SQL, including: CRUD operations, Views, Functions, Stored Procedures 
 5. Familiar with API development and integration (RESTful APIs preferred) 
 6. Experience as a technical ERP resource, especially SAP Business One / Oracle Netsuit / Dynamics 365, is a strong plus 
 7. Frontend knowledge such as React and Next.js is a plus 
   
 Additional Preferred Qualifications (Suggested) : 
 1. Experience in leading or mentoring developers 
 2. Understanding of software architecture, design patterns, and best practices 
 3. Experience with code reviews and enforcing coding standards 
 4. Knowledge of security best practices for backend systems 
 5. Good problem-solving, communication, and documentation skills"
10,Software Developer,Retail,CONTRACTOR,Software Architect,Jakarta Timur,DKI Jakarta,ID,5729876.0,5729877.0,"Oracle E-Business Suite (EBS), jQuery, SQL, Accounting, PHP Native, Backend Development, Oracle ERP",12.0,bachelor degree,"Kualifikasi:  
 
 Pendidikan minimal S1  Teknologi Informasi/ Sistem Informasi 
 Memiliki pengalaman minimal 1 tahun sebagai Developer 
 Memahami SQL Query, PHP Native tanpa framework (seperti Code-Egniter, Laravel, Symfony), Jquery-EasyUI untuk tampilannya. 
 Dapat menggunakan Backend dengan framework drupal 
 Penempatan Cakung Jakarta Timur"
11,Programmer for Software Developer,Information Technology and Services,FULL_TIME,Backend Developer,Jakarta Selatan,DKI Jakarta,ID,10000000.0,13000000.0,"Node.js, PostgreSQL, Java, Laravel, MongoDB, Microsoft SQL Server, MySQL, C++, Python, PHP",36.0,bachelor degree,"🚀 We're Hiring: Programmer for Software Developer (PG) 
 📍 Jakarta, Indonesia | 💼 Full-Time / Permanent 
 💰 Salary: Start IDR 10,000,000,- nett (negotiable based on experience) 
 
 As we launch an exciting new development project in Indonesia, we're looking for a founding team member to take on the crucial role of Programmer. You’ll be joining at the ground level, helping shape not just the product, but the development culture and technical direction of our new team. 
 
 
 Our product, Rakuraku Seisan (楽楽精算), is Japan’s leading cloud-based expense management system. It automates and streamlines processes such as travel expense claims, reimbursement approvals, and invoice handling. Over 15,000 companies in Japan rely on Rakuraku Seisan to simplify their internal operations and improve efficiency. 
 
 This is a rare opportunity to join an international product team at its inception in Indonesia. You will have a strong voice in shaping not only how we build our software but also how we grow as a team. 
 
 🔧 What you’ll do: 
 Development of new SaaS features 
 Manage Agile workflows and timelinesReview code, designs, and test cases 
 Collaborate directly with global teams in Japan and Vietnam 
 
 ✅ Requirements: 
 3+ years with Java & Spring Boot 
 Experience in Agile and PostgreSQL 
 Past role as a Software Developer 
 English: Beginner 
 High ability to utilize AI tools to improve development productivity 
 High motivation to learn something new 
 Point plus: experience with Japanese companies or culture 
 
 🎁 Perks: 
 Performance bonus 
 Salary review 2× a year 
 Transport allowance 
 Private health insurance 
 Flexible working hours 
 Company special holiday 7 days in a year 
 Others allowance will be informed after joined!"
12,Junior Software Developer - Salesforce,Information Technology and Services,FULL_TIME,Backend Developer,Jakarta Barat,DKI Jakarta,ID,5500000.0,6000000.0,"Python, C++, PostgreSQL, PHP, Microsoft SQL Server, MySQL, Java, Laravel, Node.js, MongoDB",Tidak ada,bachelor degree,"Responsibilities: 
 
 Collaborate with cross-functional teams to understand business requirements and translate them into Salesforce solutions 
 Develop, configure, and customise Salesforce applications to meet client needs 
 Write clean, efficient, and maintainable code using Apex, Visualforce, and Lightning components 
 Implement and test Salesforce integrations with other systems 
 Participate in the Agile software development lifecycle, including planning, design, and deployment 
 Provide support and troubleshoot issues for end-users 
 Continuously learn and stay up-to-date with the latest Salesforce technologies and best practices 
 
 
 Requirements: 
 
 Bachelor Degree in Computer Science, Information Technology, or a related field 
 1-2 years of experience in Salesforce development, preferably as a Junior Salesforce Developer or equivalent role. Fresh graduate are welcome to apply 
 Proficient in Java, Python, SQL, Javascript, HTML or relevant language 
 Familiarity with Salesforce architecture, data models, and customisation capabilities 
 Strong problem-solving and analytical skills 
 Excellent communication and teamwork abilities 
 Passion for staying up-to-date with the latest Salesforce trends and technologies"
13,Software Developer - Banking Industry,Information Technology and Services,CONTRACTOR,Backend Developer,Tangerang Selatan,Banten,ID,13000000.0,15400000.0,"PostgreSQL, CI/CD, Go / Golang, Jenkins, Amazon Web Services (AWS), clean architecture, Micro Services, Rust, NoSQL, Google Cloud Platform, SQL, Java, Bitbucket, Microservices Architecture, Core Java",36.0,bachelor degree,"Client: Banking Industry 
 Location: Bintaro Sektor 7 Tangerang Selatan (Full WFO) 
 
 Requirements: 
 1. Paham mengenai transaksi web or mobile banking 
 2. Menguasai pemrograman Java Spring Boot, Golang, Rust 
 3. Memiliki analytical thinking yang baik 
 4. Memahami micro services 
 5. Familliar with unit testing and clean architecture 
 6. Database Knowledge (PostGreSQL) 
 7. CI/CD Tools Knowledge (Bitbucket, Jenkins) 
 8. Experience with SQL and NoSQL databases 
 9. Experience with banking industry and big start up is a plus"
14,Software Developer (UiPath RPA),Information Technology and Services,FULL_TIME,Backend Developer,Jakarta Selatan,DKI Jakarta,ID,5000000.0,8500000.0,"Relational Databases, Teamwork, VB.NET, Business Analysis, .NET, IT Infrastructure Management",12.0,bachelor degree,"The Opportunity: 
 
 You love solving problems and building creative and effective solutions. 
 You want to learn and develop new skills, especially in the areas of Robotic Process Automation (RPA), data processing/ETL, data/web scraping and software testing. 
 You want to see your work bring immediate benefits and impact. 
 You are passionate, analytical and a team player. 
 
 
 Your day-to-day work at Kalyana Solutions: 
 
 You will work in a cross-functional team to bring a wide variety of automation ideas to life using Robotic Process Automation (RPA). 
 Work alongside our awesome team of Project Managers, Business Analysts, Solution Architects and other Software Engineers. 
 Build robust, maintaineable and scaleable automations using C# / VB.NET. These automations work in a wide variety of scenarios, interacting with desktop/web applications, APIs and various other data sources. You will build a mix of background/unattended processes and ""lite"" desktop-app-like experiences for attended execution. 
 Build reusable code and libraries to be shared across multiple projects. 
 Design data storage / processing schemas and pipelines. 
 Maintain up-to-date and complete project documentation. 
 Communicate regularly with our team and our customers. 
 Work with our team members to ensure that business/functional, technical and security requirements are met. 
 
 
 Requirements 
 
 1-3 years of relevant experience in Software Engineering. We are looking for previous experience with Desktop/Web applications and/or Testing technologies 
 Proficiency in a programming language used in any of the above areas. 
 Proficiency in C# or VB.NET is desirable. 
 Existing experience with RPA tools (UiPath, Automation Anywhere, etc.) is desirable. 
 Strong analytical, problem-solving, teamwork and communication skills. 
 Working knowledge of software architecture and design. 
 Proficiency in code versioning tools such as Git, Subversion, Mercurial, TFS. Familiar with code review and deployment workflow using GitHub/GitLab. 
 Familiarity with SQL and basic database administration. 
 Understanding of systems development lifecycle (Waterfall/Agile)"
15,Software Developer,Marketing and Advertising,FULL_TIME,Software Architect,Surabaya,Jawa Timur,ID,3000000.0,4000000.0,"ERP Software, Software Development, Software Engineering",12.0,bachelor degree,"Kualifikasi : 
 1. Pria / Wanita Max umur 35 tahun 
 2. Min Pendidikan D3 
 3. Menguasai Pemograman untuk sistem management perusahaan 
 4. Mampu bekerja secara mandiri  
 5. Jujur, Tanggung Jawab, dan Good Attitude 
 6. di utamakan yang bisa desain & video ( Corel Draw,Adobe Ilustrator, Adobe Photoshop)  
 
 Jobdesk: 
 1. Membuat / merancang arsitektur sistem dan mengembangkan perangkat lunak yang memenuhi kebutuhan operasional 
 2. memastikan bahwa software yang di rancang sesuai dengan kebutuhan operasional perusahaan 
 3. membantu menjelaskan kepada tim untuk penggunaan software tersebut 
 4. melakukan pemeliharan (maintenance) atas aplikasi dan database secara berkala  
 5. membantu menangani Troubleshooting 
 6. mengelola website perusahaan"
16,Software Developer Engineer C and C++,Information Technology and Services,FULL_TIME,Backend Developer,Sleman,DI Yogyakarta,ID,26000000.0,35000000.0,"MySQL, Python, PHP",36.0,bachelor degree,"Mandatory : 
 fluency in English at professional level 
 being able to work onsite in Malaysia for 1 year contract  
 3 years minimum experience in C++ 
 
 Bachelor or master’s degree in Computer Science, Telecommunications, Electrical Engineering, Industrial science or equivalent experience 
 • Advanced programming skills in C or C++, with expertise in Object-Oriented Programming (OOP) and the design and development of complex software systems. 
 • Familiar with programing, design, develop and test embedded software of Linux 
 • Apply expertise in IP-based networks and Layer 2/Layer 3 Access protocols (including but not limited to Ethernet, Layer 2 Forwarding, Layer 3 forwarding, QoS, Multicast, DNS, DHCP, PPPoE, 802.1x, Radius, CFM, etc. and stay updated with emerging network technologies). 
 • Experience with Wi-Fi technologies and Wi-Fi mesh networking will be added advantage. 
 • Familiarity with multi-threaded programming, memory management, and performance tuning. 
 • Strong understanding of TCP/IP networking, routing and switching principles., 
 • Experience with router-related protocols such as DHCP, NAT, VLAN, PPPoE, IPv4/IPv6, QoS, and DNS. 
 • Experience with products like GPON, XGSPON will be added advantage 
 • Experience with CI/CD, Mercurial (Git), automated build/testing tools 
 • Familiarity with BBF management protocols, including TR069, TR369, etc. 
 • Ability to use network analysis tools (Wireshark, tcpdump) for debugging and verification 
 • Experience with system testing, performance benchmarking, and stability analysis 
 • Ability to identify bottlenecks and propose architecture or design improvements. 
 • Good communication skills and ability to collaborate with cross-functional teams. 
 • Strong sense of responsibility, self-driven, and capable of working under pressure. 
 • Ability to document designs, development processes, and troubleshooting procedures. 
 Nice to Have 
 • Experience with OpenWrt/PrplOS 
 • Experience with WiFi 
 • Fluent in English with strong communication and collaboration skills 
 • Strong troubleshooting and problem-solving skills. 
 • Willingness to contribute with creative, out-of-the-box solutions, to problems arising in a dynamic environment, under high market pressure 
 • Collaborate with cross-functional teams on international level to ensure product excellence"
17,Flutter Developer,Information Technology and Services,FULL_TIME,Flutter Developer,Surabaya,Jawa Timur,ID,6000000.0,10000000.0,"Restful API, Flutter, Mobile Development, Mobile UI Design, Dart",12.0,high school,"Job Description 
 
 Develop and maintain mobile applications for Android and iOS using Flutter. 
 Translate business requirements and UI/UX designs into high-quality, functional applications. 
 Collaborate closely with backend developers, UI/UX designers, and product teams. 
 Perform debugging, testing, and performance optimization of mobile applications. 
 Integrate RESTful APIs / GraphQL APIs into mobile applications. 
 Ensure code quality by following best practices and clean architecture principles. 
 Deploy and maintain applications on Google Play Store and Apple App Store. 
 Prepare and maintain technical documentation related to application development."
19,Full Stack Developer,Information Technology and Services,INTERN,Full Stack Developer,Tangerang Selatan,Banten,ID,2500000.0,5300000.0,"Node.js, JavaScript, Laravel, React.js",Tidak ada,high school,"Farovon Maju Bersama sedang membuka lowongan! 
 
 Programmer (Full Stack) 
 
 Ada kabar baik buat kalian, saat ini Farovon Maju Bersama sedang membuka kesempatan untuk kalian yang ingin memulai karier di bidang Software Development (Magang).  
 Kami mencari teman-teman dari SMK jurusan Rekayasa Perangkat Lunak (RPL) atau fresh graduate RPL yang punya semangat belajar dan berkembang di dunia IT. 
 
 Tanggung Jawab Utama :  
 1. Mengelola proyek atau aplikasi perusahaan 
 2. Membantu dalam tata letak dan desain untuk pengkodean 
 3. Memperbaiki bug atau masalah dalam aplikasi yang dilaporkan oleh pengguna atau tim QC. 
 4. Berkolaborasi dengan pengembang, desainer, dan tim QC untuk menyelesaikan proyek tepat waktu. 
 5. Melakukan debugging kode untuk menemukan dan memperbaiki kesalahan logis atau teknis. 
 6. Membuat dokumentasi kode agar lebih mudah dipahami oleh tim lain. 
 
 Kualifikasi 
 1. Pria/Wanita 
 2. Mahasiswa aktif (SMK Kejurusan Rekayasa Perangkat Lunak), lulusan baru, atau memiliki pengalaman minimal 1 tahun sebagai programmer di bidang pengembangan perangkat lunak, baik sebagai magang maupun posisi penuh waktu. 
 3. Familiar dengan Node.js, HTML, PHP,atau konsep software development (lebih disukai). 
 4. Tertarik belajar dan berkembang di lingkungan kerja IT. 
 5. Suka bekerja dalam tim dan mau terus upgrade skill 
 6. Lokasi: Bumi Serpong Damai (BSD), Tangerang Selatan. 
 
 Buat kalian yang ingin belajar langsung di dunia kerja IT, ini bisa jadi kesempatan yang bagus karena ada jenjang karirnya loh! 
 
 Jangan ragu untuk apply ya dan mari berkembang bersama 🚀 
 Jika Anda tertarik dengan kesempatan ini, silakan lamar segera! 
 Terima kasih, dan bergabunglah dengan kami! 🤗"
20,Full Stack Developer,Retail,FULL_TIME,Full Stack Developer,Malang,Jawa Timur,ID,2500000.0,3300000.0,"REST API, PHP, Laravel, HTML, TypeScript, MySQL",Tidak ada,professional certificate,"Membantu Pengembangan Sistem yang sudah ada di Dea Bakery 
 Bertanggung Jawab dalam Pemeliharaan Sistem Dea Bakery 
 Melakukan Pengembangan Sistem Baru yang Mendukung Operasional Dea Bakery"
22,Full Stack Developer,Insurance,FULL_TIME,Full Stack Developer,Jakarta Utara,DKI Jakarta,ID,3500000.0,4000000.0,"Microsoft SQL Server, JavaScript, MySQL, PostgreSQL, Laravel, Node.js",12.0,bachelor degree,"1. Pengembangan Aplikasi 
 Mengembangkan dan membangun aplikasi berbasis web atau sistem internal perusahaan. 
 Mengembangkan front-end (tampilan pengguna) dan back-end (server, database, API). 
 Membuat fitur baru sesuai kebutuhan perusahaan atau klien. 
 2. Pengelolaan Front-End 
 Mendesain dan mengembangkan tampilan website atau aplikasi agar responsif dan user-friendly. 
 Menggunakan teknologi seperti HTML, CSS, JavaScript, React, Vue, atau Angular 
 Mengoptimalkan performa dan kompatibilitas aplikasi di berbagai perangkat. 
 3. Pengelolaan Back-End 
 Mengembangkan server-side logic dan API. 
 Mengelola database seperti MySQL, PostgreSQL, MongoDB. 
 Menggunakan framework seperti Node.js, Laravel, Django, atau Express.js. 
 4. Integrasi Sistem 
 Mengintegrasikan aplikasi dengan sistem lain seperti payment gateway, API pihak ketiga, atau sistem internal. 
 Mengelola komunikasi data antara front-end dan back-end. 
 5. Maintenance dan Troubleshooting 
 Melakukan perawatan (maintenance) sistem yang sudah berjalan. 
 Memperbaiki bug atau error pada aplikasi. 
 Melakukan update sistem untuk meningkatkan performa dan keamanan. 
 6. Pengujian Sistem 
 Melakukan testing aplikasi sebelum deployment. 
 Memastikan aplikasi berjalan dengan stabil dan aman."
23,Full Stack Developer,Insurance,FULL_TIME,Full Stack Developer,Jakarta Utara,DKI Jakarta,ID,4000000.0,4500000.0,"Laravel, MySQL, Go / Golang, CSS, Bootstrap, PHP, TypeScript, PostgreSQL, JavaScript, React.js, Docker",Tidak ada,bachelor degree,"1. Pendidikan minimal S1 Teknik Informatika atau jurusan terkait 
 2. Pengalaman minimal 1 tahun sebagai Full Stack Developer 
 3. Menguasai bahasa pemrograman PHP 
 4. Menguasai pengelolaan database MySQL atau PostgreSQL 
 5. Menguasai framework backend Laravel 
 6. Menguasai frontend styling framework (Bootstrap, Tailwind, atau sejenisnya) 
 7. Menguasai JavaScript framework/library React JS (diutamakan yang menggunakan TypeScript) 
 8. Terbiasa menggunakan Docker dalam proses development 
 9. Bersedia bekerja on-site di wilayah Jakarta Utara 
 10. iutamakan memiliki pengalaman mengembangkan sistem keuangan (COA, Buku Besar, Neraca, Jurnal, dan sejenisnya)"
24,Web Developer,Printing,FULL_TIME,Full Stack Developer,Karanganyar,Jawa Tengah,ID,2000000.0,3000000.0,"Android Development, MySQL, Laravel, jQuery, JavaScript, C++, React.js, Next.Js, Microsoft SQL Server",12.0,professional certificate,"CV Mediatama Solo adalah perusahaan penerbitan yang berfokus pada pengembangan kurikulum pendidikan untuk tingkat SD, SMP, SMA, SMK, Non Teks, serta buku elektronik. Dengan komitmen untuk memberikan edukasi yang terbaik kepada masyarakat, kami terus mencari talenta-talenta baru yang siap mengembangkan platform digital kami. Kini, kami membuka peluang karier bagi para profesional yang memiliki keterampilan teknologi dan pengalaman yang sesuai untuk posisi Full Stack Developer dan Web Developer di kantor kami di Colomadu, Kabupaten Karanganyar, Jawa Tengah. 
 
 Sebagai Full Stack Developer atau Web Developer di CV Mediatama Solo, Anda akan bertanggung jawab atas pengembangan dan pemeliharaan platform web yang mendukung kebutuhan bisnis perusahaan. Anda akan bekerja dengan tim untuk merancang, membangun, dan menguji aplikasi web yang efisien dan andal. Tugas utama Anda mencakup: 
 
 - Mengembangkan fitur-fitur baru di platform web dan aplikasi berbasis web. 
 - Menerapkan desain antarmuka pengguna yang intuitif dan responsif. 
 - Mengelola database dengan MySQL dan Microsoft SQL Server. 
 - Mengintegrasikan berbagai API dan layanan untuk meningkatkan fungsi platform. 
 - Mengoptimalkan performa aplikasi untuk memastikan responsivitas yang cepat dan stabilitas sistem. 
 
 Untuk melamar posisi ini, Anda harus memenuhi beberapa persyaratan sebagai berikut: 
 
 - Pendidikan minimal S1/Diploma di bidang Teknologi Informasi atau bidang terkait. 
 - Pengalaman kerja minimal 1  tahun dalam pengembangan web atau aplikasi (freshgraduated dipersilahkan) 
 - Keahlian dalam bahasa pemrograman seperti JavaScript, jQuery, MySQL, React.js, Microsoft SQL Server, Laravel, Android Development, C++, dan Next.Js. 
 - Kemampuan bekerja dalam tim dan mengelola proyek secara efektif. 
 - Keinginan untuk belajar dan berkembang di lingkungan kerja yang dinamis. 
 - Bersedia bekerja penuh waktu di kantor 
 
 CV Mediatama Solo menawarkan kesempatan untuk berkembang di lingkungan kerja yang positif dan dukungan yang diperlukan untuk sukses dalam karier Anda. Jika Anda merasa siap untuk membantu kami mengembangkan platform digital kami, kami mengundang Anda untuk melamar posisi ini."
25,Fullstack Developer,Information Technology and Services,FULL_TIME,Full Stack Developer,Tangerang,Banten,ID,7500000.0,10000000.0,"Node.js, TypeScript, PostgreSQL, Jrpc, Microservices Architecture, React.js",36.0,professional certificate,"Fullstack Developer (ERP System) 
 
 Location: Gading Serpong – WFO 
 Employment: Full-time, Senin s/d Sabtu 
 
 Job Description 
 
 Kami mencari Fullstack Developer yang memiliki pengalaman mengembangkan atau menghandle sistem ERP untuk membantu pengembangan dan maintenance sistem internal perusahaan. 
 
 Tanggung Jawab: 
 
 Mengembangkan dan maintenance sistem ERP perusahaan 
 Mengembangkan backend menggunakan Node.js / TypeScript 
 Mengembangkan frontend menggunakan Next.js / React 
 Mengelola database PostgreSQL 
 Mengembangkan system berbasis microservices 
 Menghandle API dan socket / real-time communication 
 Melakukan bug fixing dan improvement system 
 Berkoordinasi dengan tim product dan operasional terkait kebutuhan sistem 
 
 
 Requirements 
 
 Pengalaman sebagai Fullstack Developer 
 Memiliki pengalaman mengerjakan sistem ERP (penting) 
 Menguasai JavaScript / TypeScript 
 Backend: Node.js 
 Frontend: React / Next.js 
 Database: PostgreSQL 
 Memahami microservices architecture 
 Memahami API & socket / RPC 
 Willing to Work From Office di Gading Serpong 
 
 
 Nilai plus: 
 
 Bisa Golang 
 Pernah build ERP 
 Pernah handle system dengan banyak user / transaksi"
